                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.60358,                  3.614,                0.40901,                0.39287,                0.96283,                0.97902,                0.95108,                0.97552,                0.81368,                0.61046,                0.52312,                0.43592,                0.18735,                0.64082,                  3.653,                0.44693,                0.36943,                0.99716,              0.0012476,              0.0012476,              0.0012476
                     79,                 0.6127,                 3.6534,                0.41173,                0.39285,                0.96262,                0.97145,                0.95252,                0.97601,                 0.8173,                0.62141,                0.53846,                0.47513,                0.20532,                0.65856,                 3.5843,                0.44303,                0.37669,                 1.0057,              0.0012377,              0.0012377,              0.0012377
                     80,                0.60621,                 3.6533,                0.41808,                0.38485,                0.95865,                 0.9875,                 0.9223,                0.97054,                0.81498,                0.60934,                0.53813,                0.45113,                0.19269,                0.65379,                 3.6044,                0.45121,                0.37109,                 1.0081,              0.0012278,              0.0012278,              0.0012278
                     81,                 0.6183,                 3.7195,                0.41244,                0.39289,                0.97215,                0.97905,                0.94147,                0.97859,                0.82568,                0.60251,                0.53381,                0.46289,                0.20973,                0.64227,                 3.5255,                0.44293,                0.37253,                0.99323,              0.0012179,              0.0012179,              0.0012179
                     82,                0.60541,                 3.5619,                0.41748,                0.38613,                0.97707,                0.97779,                0.95003,                0.97551,                0.82538,                0.61466,                0.51655,                0.47869,                0.21859,                0.66091,                 3.5302,                0.44406,                0.36172,                 1.0118,               0.001208,               0.001208,               0.001208
                     83,                  0.614,                 3.5618,                0.41347,                0.39069,                0.97442,                0.97834,                0.94388,                 0.9749,                0.81984,                0.61836,                0.51989,                0.44497,                0.19697,                0.66059,                 3.5825,                0.44589,                0.37079,                 1.0156,              0.0011981,              0.0011981,              0.0011981
                     84,                0.62262,                 3.7611,                0.40898,                0.39764,                0.97564,                0.97314,                 0.9482,                0.97098,                0.82604,                0.58108,                 0.4964,                0.43819,                0.20878,                0.64989,                 3.5894,                0.44523,                0.37067,                 1.0118,              0.0011882,              0.0011882,              0.0011882
                     85,                0.60969,                 3.7319,                0.41713,                0.39293,                0.97162,                0.98489,                0.93771,                0.97406,                0.83021,                0.62427,                0.53311,                0.49088,                 0.2335,                0.64143,                 3.4186,                0.45369,                0.36431,                 1.0007,              0.0011783,              0.0011783,              0.0011783
                     86,                0.59219,                 3.6156,                0.41825,                0.37981,                0.95896,                0.98119,                0.93957,                0.97573,                 0.8196,                0.60997,                0.54245,                0.46866,                0.21567,                0.64249,                 3.4588,                0.44411,                0.37017,                0.99494,              0.0011684,              0.0011684,              0.0011684
                     87,                0.59121,                 3.5836,                0.41174,                0.37137,                0.95574,                0.98496,                0.93813,                0.97772,                 0.8277,                0.60519,                0.51942,                0.44529,                0.21032,                 0.6451,                 3.5575,                0.45249,                 0.3697,                 1.0033,              0.0011585,              0.0011585,              0.0011585
